Year /,Race,Median Income of Assiciate Degree,Median Income of Bachelor Degree,Median Income of Doctor Degree
2015,Asian,$39250,$78470,$95500
2015,Black,$39230,$52960,$69340
2015,Hispanic,$45330,$63000,$67560
2015,White,$48830,$63420,$76570
2016,Asian,$50250,$75060,$99510
2016,Black,$38780,$56690,$73910
2016,Hispanic,$44000,$57080,$69700
2016,White,$49520,$62960,$75690
2017,Asian,$45440,$79650,$96090
2017,Black,$42480,$50300,$67300
2017,Hispanic,$44010,$56100,$69420
2017,White,$49250,$65240,$79890
2018,Asian,$47230,$72750,$95570
2018,Black,$41800,$49070,$63760
2018,Hispanic,$42870,$54620,$72330
2018,White,$49730,$67530,$73920
2019,Asian,$46170,$70700,$99980
2019,Black,$42190,$52240,$63720
2019,Hispanic,$45670,$53400,$70140
2019,White,$51520,$69150,$80340
2020,Asian,$58020,$80210,$98310
2020,Black,$41890,$58380,$62580
2020,Hispanic,$47610,$58160,$68320
2020,White,$52960,$69800,$79440
